id,trial,nd_0,nd_30,nd_60,nd_90,d_0,d_30,d_60,d_90
VB42 ,1,12.6,10.3,12,18.2,9.7,10.5,14.6,18.6
VB42,2,12.5,13.7,17.7,22.4,10,12.8,15.7,17.7
VB42,3,11.8,13,13.2,22.9,5.4,9.9,20.3,18.6
VB43 ,1,15,13.5,20.7,21.1,16.6,13.7,17.4,22.5
VB43,2,13.8,13.8,18,21.4,19.5,15.9,24.2,22.7
VB43,3,17.5,16.3,,21,16.4,16.6,17.9,21.1
VB44 ,1,17.6,22.9,24.7,27.6,12.6,12.4,17.9,23.5
VB44,2,25.7,23,24.5,32.2,13.3,13.5,21.6,20.9
VB44,3,23.6,22.9,23.1,26.6,14.1,14.2,23.4,24.8
VB45 ,1,8.4,11.2,19.3,21.5,11.2,12,18.5,22
VB45,2,7.4,7.3,17.8,21.9,13.3,16,15.5,20.3
VB45,3,8.2,12.9,19.8,24,11.6,13,15.8,20.3
VB46 ,1,4.3,10.4,17.2,18.4,1.2,5.3,6.7,6.6
VB46,2,9.5,10.9,7.2,8.7,-2.9,4.1,9.2,11.1
VB46,3,5.7,7.8,12.8,14.2,2.7,0.05,6.3,7.5
VB47 ,1,13.3,21.7,19.7,27.9,9.1,15.6,15.6,20.8
VB47,2,12.7,20.4,22,29.2,9.1,17.6,15.3,23.1
VB47,3,14.3,15.7,21.8,29.1,13.6,10.4,17,19.8
